dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_76,-0.0732,0.0054,4.8e-05,True,-0.0321,0.001,0.108231,False,0.1041,0.0108,0.0,True,0.0549,0.003,0.023879,False,0.0001,0.669039,False,0.0004,0.534456,False,0.0049,0.018349,False
latent_79,0.0105,0.0001,0.558559,False,-0.0318,0.001,0.112045,False,0.0143,0.0002,0.442911,False,-0.0057,0.0,0.815756,False,0.0006,0.167805,False,0.0004,0.546539,False,0.0013,0.412538,False
latent_82,-0.0065,0.0,0.716759,False,0.0385,0.0015,0.05456,False,-0.0402,0.0016,0.03067,False,-0.0621,0.0039,0.010635,False,0.0001,0.688911,False,0.0005,0.467607,False,0.0003,0.929358,False
latent_83,0.3136,0.0984,0.0,True,-0.0116,0.0001,0.560566,False,-0.1449,0.021,0.0,True,0.0722,0.0052,0.002963,False,0.0722,0.0,True,0.0023,0.026759,False,0.0086,2e-05,True
latent_84,-0.0586,0.0034,0.001136,False,-0.0975,0.0095,1e-06,True,0.038,0.0014,0.041335,False,-0.0432,0.0019,0.075957,False,0.0022,0.009949,False,0.0012,0.165075,False,0.0051,0.003232,False
latent_85,0.0287,0.0008,0.111071,False,0.1195,0.0143,0.0,True,-0.0221,0.0005,0.235804,False,-0.0481,0.0023,0.048053,False,0.0019,0.016617,False,0.0009,0.235779,False,0.0187,0.0,True
latent_86,0.0499,0.0025,0.005623,False,-0.0665,0.0044,0.000885,False,-0.0633,0.004,0.000666,False,-0.0144,0.0002,0.553195,False,0.0008,0.115955,False,0.0009,0.240867,False,0.0129,0.0,True
latent_90,-0.0396,0.0016,0.027972,False,0.0198,0.0004,0.323077,False,0.0468,0.0022,0.011845,False,0.0662,0.0044,0.006503,False,0.0061,1.4e-05,True,0.0,0.970113,False,0.0032,0.04676,False
latent_91,-0.0503,0.0025,0.005275,False,-0.0682,0.0046,0.000648,False,0.0429,0.0018,0.021116,False,-0.0011,0.0,0.964394,False,0.0004,0.267287,False,0.0016,0.085191,False,0.0079,4.3e-05,True
latent_95,-0.0589,0.0035,0.001084,False,-0.0256,0.0007,0.201394,False,0.0132,0.0002,0.478537,False,0.0036,0.0,0.883826,False,0.0017,0.021971,False,0.0015,0.104048,False,0.0024,0.10847,False
latent_98,0.0411,0.0017,0.022475,False,0.0092,0.0001,0.646316,False,0.0136,0.0002,0.465785,False,0.0032,0.0,0.894358,False,0.0001,0.602367,False,0.0008,0.308544,False,0.0047,0.005675,False
latent_99,0.0811,0.0066,7e-06,True,-0.0204,0.0004,0.307665,False,-0.0285,0.0008,0.125458,False,-0.0283,0.0008,0.244278,False,0.0018,0.019213,False,0.0004,0.525103,False,0.0015,0.336701,False
latent_101,-0.1023,0.0105,0.0,True,-0.042,0.0018,0.035822,False,0.0701,0.0049,0.000166,True,0.03,0.0009,0.217741,False,0.0059,2.1e-05,True,0.0005,0.488593,False,0.0032,0.039757,False
latent_102,-0.048,0.0023,0.007765,False,-0.1156,0.0134,0.0,True,0.0625,0.0039,0.000782,False,0.0012,0.0,0.961978,False,0.0078,1e-06,True,0.0004,0.542576,False,0.0152,0.0,True
latent_106,-0.1013,0.0103,0.0,True,0.0527,0.0028,0.008422,False,0.0578,0.0033,0.00189,False,-0.0329,0.0011,0.176744,False,0.0037,0.000741,False,0.0,0.97695,False,0.0118,0.0,True
latent_110,0.0328,0.0011,0.06894,False,0.0292,0.0009,0.144141,False,-0.0581,0.0034,0.001779,False,-0.062,0.0038,0.010761,False,0.0019,0.015038,False,0.0022,0.036124,False,0.0009,0.614867,False
latent_111,0.0319,0.001,0.076259,False,0.0453,0.002,0.023669,False,0.0289,0.0008,0.120247,False,0.0196,0.0004,0.420292,False,0.002,0.012062,False,0.002,0.046593,False,0.0066,0.001004,False
latent_112,0.0083,0.0001,0.644442,False,-0.0196,0.0004,0.327064,False,-0.0266,0.0007,0.153601,False,-0.028,0.0008,0.249689,False,0.0029,0.003007,False,0.0006,0.399648,False,0.0017,0.268938,False
latent_113,0.0726,0.0053,5.5e-05,True,-0.136,0.0185,0.0,True,-0.0135,0.0002,0.46975,False,0.015,0.0002,0.537798,False,0.0008,0.118967,False,0.0005,0.469749,False,0.0322,0.0,True
latent_114,0.2649,0.0701,0.0,True,0.1214,0.0147,0.0,True,-0.1412,0.02,0.0,True,0.0263,0.0007,0.279712,False,0.0337,0.0,True,0.0015,0.102572,False,0.0087,2.7e-05,True
latent_116,-0.2129,0.0453,0.0,True,-0.0596,0.0035,0.002898,False,0.0878,0.0077,2e-06,True,-0.0719,0.0052,0.003098,False,0.034,0.0,True,0.0022,0.031781,False,0.0056,0.00334,False
latent_117,-0.0857,0.0073,2e-06,True,-0.1111,0.0123,0.0,True,0.092,0.0085,1e-06,True,0.0273,0.0007,0.261228,False,0.0011,0.069962,False,0.0017,0.067943,False,0.0062,0.000596,False
latent_118,-0.0634,0.004,0.00043,True,0.0765,0.0059,0.000129,True,0.0275,0.0008,0.139939,False,0.0326,0.0011,0.180174,False,0.0007,0.145345,False,0.0014,0.109166,False,0.0153,0.0,True
latent_119,-0.0252,0.0006,0.162648,False,0.0361,0.0013,0.07092,False,0.0474,0.0022,0.010822,False,-0.0102,0.0001,0.67533,False,0.0061,1.4e-05,True,0.0012,0.156377,False,0.0013,0.403399,False
latent_120,-0.0945,0.0089,0.0,True,-0.0043,0.0,0.831647,False,-0.0147,0.0002,0.431081,False,-0.0373,0.0014,0.125096,False,0.0081,1e-06,True,0.0022,0.034086,False,0.0027,0.072477,False
latent_121,0.0247,0.0006,0.170862,False,-0.0522,0.0027,0.009025,False,-0.0209,0.0004,0.261769,False,-0.0007,0.0,0.977702,False,0.0013,0.049152,False,0.0007,0.35558,False,0.0007,0.733428,False
latent_124,-0.0779,0.0061,1.5e-05,True,-0.0481,0.0023,0.016113,False,0.0661,0.0044,0.000377,True,0.0023,0.0,0.92356,False,0.002,0.012654,False,0.0002,0.769325,False,0.0048,0.005339,False
latent_129,0.0248,0.0006,0.168844,False,0.0456,0.0021,0.022583,False,-0.0663,0.0044,0.000363,True,0.0012,0.0,0.959759,False,0.0007,0.137999,False,0.0022,0.03549,False,0.0013,0.533258,False
latent_132,0.1214,0.0147,0.0,True,0.4279,0.1831,0.0,True,-0.1131,0.0128,0.0,True,-0.1604,0.0257,0.0,True,0.0033,0.001393,False,0.0006,0.394785,False,0.1775,0.0,True
latent_133,-0.0358,0.0013,0.046778,False,-0.0655,0.0043,0.00105,False,0.0104,0.0001,0.578089,False,-0.0295,0.0009,0.225477,False,0.0191,0.0,True,0.001,0.200217,False,0.0117,0.0,True
latent_141,0.1764,0.0311,0.0,True,0.0175,0.0003,0.383022,False,-0.0542,0.0029,0.003559,False,-0.0094,0.0001,0.699147,False,0.0009,0.100909,False,0.0002,0.768584,False,0.0034,0.03296,False
latent_145,-0.1256,0.0158,0.0,True,0.0253,0.0006,0.205433,False,0.0537,0.0029,0.003938,False,-0.0354,0.0013,0.146099,False,0.0079,1e-06,True,0.0011,0.189995,False,0.0014,0.376393,False
latent_146,-0.0464,0.0022,0.010021,False,-0.0319,0.001,0.111233,False,0.0106,0.0001,0.568728,False,0.0665,0.0044,0.006256,False,0.0013,0.044899,False,0.0013,0.131621,False,0.003,0.058203,False
latent_147,0.1068,0.0114,0.0,True,0.0831,0.0069,3.2e-05,True,-0.0309,0.001,0.097485,False,-0.0051,0.0,0.834601,False,0.0041,0.000377,True,0.0024,0.024384,False,0.0066,0.000472,False
latent_150,-0.0171,0.0003,0.341469,False,-0.0918,0.0084,4e-06,True,0.0549,0.003,0.003151,False,0.0389,0.0015,0.109521,False,0.0001,0.604113,False,0.0007,0.353526,False,0.0108,1e-06,True
latent_151,0.0534,0.0029,0.003016,False,-0.0536,0.0029,0.007403,False,-0.0446,0.002,0.016619,False,0.0109,0.0001,0.653396,False,0.0,0.776221,False,0.0013,0.127012,False,0.0084,3.4e-05,True
latent_156,-0.0673,0.0045,0.000185,True,-0.0138,0.0002,0.490522,False,0.0429,0.0018,0.021048,False,-0.0584,0.0034,0.016238,False,0.0008,0.111791,False,0.0023,0.027975,False,0.0017,0.252029,False
latent_162,0.0883,0.0078,1e-06,True,-0.0223,0.0005,0.264713,False,-0.0276,0.0008,0.137921,False,0.0162,0.0003,0.505917,False,0.0,0.88423,False,0.0,0.989069,False,0.0036,0.046067,False
latent_163,-0.0142,0.0002,0.429583,False,-0.0231,0.0005,0.24872,False,0.0091,0.0001,0.624699,False,0.0118,0.0001,0.628789,False,0.0016,0.028086,False,0.0003,0.602008,False,0.0013,0.409546,False
latent_166,0.004,0.0,0.822869,False,0.0103,0.0001,0.608531,False,-0.0223,0.0005,0.230656,False,-0.0006,0.0,0.98014,False,0.0001,0.548218,False,0.0003,0.664349,False,0.0024,0.197017,False
latent_169,-0.0361,0.0013,0.045069,False,-0.0378,0.0014,0.058717,False,-0.0379,0.0014,0.041496,False,-0.036,0.0013,0.138418,False,0.0003,0.333612,False,0.0002,0.720815,False,0.0076,0.00015,True
latent_171,0.0064,0.0,0.72373,False,-0.0354,0.0013,0.07712,False,-0.0127,0.0002,0.496171,False,-0.0247,0.0006,0.309889,False,0.0187,0.0,True,0.0022,0.034421,False,0.0021,0.20663,False
latent_173,0.1139,0.013,0.0,True,-0.1465,0.0214,0.0,True,-0.0195,0.0004,0.295086,False,0.0351,0.0012,0.149391,False,0.0016,0.024579,False,0.0007,0.335542,False,0.0394,0.0,True
latent_175,0.0232,0.0005,0.197118,False,0.0743,0.0055,0.000203,True,-0.0087,0.0001,0.639255,False,0.0444,0.002,0.06793,False,0.0031,0.001892,False,0.0008,0.304555,False,0.0046,0.01051,False
latent_176,0.0207,0.0004,0.250045,False,0.0335,0.0011,0.093612,False,0.0335,0.0011,0.072296,False,0.0075,0.0001,0.757796,False,0.0021,0.010297,False,0.0001,0.928083,False,0.0037,0.020603,False
latent_180,0.073,0.0053,5e-05,True,-0.0023,0.0,0.908366,False,-0.0085,0.0001,0.649016,False,0.0504,0.0025,0.038153,False,0.0,0.923706,False,0.0014,0.108422,False,0.0006,0.781466,False
latent_183,0.0544,0.003,0.002511,False,0.0607,0.0037,0.002399,False,-0.0595,0.0035,0.001375,False,-0.038,0.0014,0.118266,False,0.0032,0.00174,False,0.0007,0.326713,False,0.0082,2.9e-05,True
latent_185,-0.0637,0.0041,0.000406,True,-0.0437,0.0019,0.02901,False,0.0585,0.0034,0.001658,False,0.0461,0.0021,0.058169,False,0.0023,0.007253,False,0.0031,0.008285,False,0.0042,0.025751,False
latent_188,-0.0526,0.0028,0.003497,False,-0.0884,0.0078,1e-05,True,-0.0093,0.0001,0.618543,False,-0.0296,0.0009,0.223965,False,0.0058,2.4e-05,True,0.001,0.202696,False,0.0079,3.2e-05,True
latent_189,0.0712,0.0051,7.7e-05,True,0.0735,0.0054,0.000236,True,-0.08,0.0064,1.7e-05,True,0.0001,0.0,0.99645,False,0.0005,0.208808,False,0.0005,0.477958,False,0.014,0.0,True
latent_192,-0.1347,0.0181,0.0,True,-0.1178,0.0139,0.0,True,0.0505,0.0025,0.006673,False,-0.0598,0.0036,0.013844,False,0.0075,1e-06,True,0.0013,0.133013,False,0.0269,0.0,True
latent_195,0.0955,0.0091,0.0,True,0.0445,0.002,0.026183,False,-0.055,0.003,0.003106,False,-0.0133,0.0002,0.58382,False,0.0001,0.65398,False,0.0,0.938211,False,0.0029,0.063484,False
latent_196,-0.0319,0.001,0.076402,False,-0.0161,0.0003,0.422548,False,-0.0212,0.0004,0.254986,False,0.0174,0.0003,0.474778,False,0.0049,0.000104,True,0.0006,0.42427,False,0.0003,0.98214,False
latent_197,-0.0227,0.0005,0.207388,False,-0.0539,0.0029,0.00699,False,-0.0161,0.0003,0.385992,False,-0.0036,0.0,0.882698,False,0.0,0.76886,False,0.0,0.946267,False,0.0013,0.400459,False
latent_198,0.0402,0.0016,0.025663,False,0.015,0.0002,0.454905,False,-0.0806,0.0065,1.5e-05,True,-0.0363,0.0013,0.135927,False,0.0004,0.289091,False,0.0004,0.547139,False,0.0007,0.715524,False
latent_201,-0.0193,0.0004,0.283217,False,0.0189,0.0004,0.344938,False,-0.0184,0.0003,0.322556,False,0.0301,0.0009,0.215493,False,0.015,0.0,True,0.0003,0.630733,False,0.0008,0.64604,False
latent_203,-0.1376,0.0189,0.0,True,-0.0517,0.0027,0.009749,False,0.0496,0.0025,0.007638,False,-0.0174,0.0003,0.473687,False,0.0108,0.0,True,0.0002,0.729819,False,0.0034,0.055952,False
