dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_234,-0.0213,0.0005,0.325057,False,-0.11,0.0121,0.0,True,0.0055,0.0,0.79853,False
latent_235,-0.0261,0.0007,0.227695,False,-0.0479,0.0023,0.027028,False,-0.0313,0.001,0.148126,False
latent_237,0.0824,0.0068,0.000139,True,0.0031,0.0,0.887064,False,-0.0163,0.0003,0.452329,False
latent_238,-0.0153,0.0002,0.480862,False,0.1099,0.0121,0.0,True,-0.009,0.0001,0.676615,False
latent_241,0.0752,0.0057,0.000503,False,-0.0826,0.0068,0.000133,True,0.0003,0.0,0.987126,False
latent_245,0.0239,0.0006,0.268709,False,0.0692,0.0048,0.001381,False,-0.0007,0.0,0.973688,False
latent_250,-0.025,0.0006,0.24793,False,-0.0711,0.0051,0.001016,False,-0.0555,0.0031,0.01033,False
latent_251,0.0303,0.0009,0.161029,False,-0.0338,0.0011,0.118684,False,0.0101,0.0001,0.641669,False
latent_253,-0.0287,0.0008,0.184471,False,0.0057,0.0,0.790829,False,0.0282,0.0008,0.192685,False
latent_254,0.0365,0.0013,0.091504,False,0.0226,0.0005,0.296359,False,0.0553,0.0031,0.010563,False
