dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,BradyRig_Total_r,BradyRig_Total_r2,BradyRig_Total_p,BradyRig_Total_sig,Tremor_Total_r,Tremor_Total_r2,Tremor_Total_p,Tremor_Total_sig,AI_BradyRig_Diff_r,AI_BradyRig_Diff_r2,AI_BradyRig_Diff_p,AI_BradyRig_Diff_sig,AI_Tremor_Diff_r,AI_Tremor_Diff_r2,AI_Tremor_Diff_p,AI_Tremor_Diff_sig,AI_BradyRig_Norm_r,AI_BradyRig_Norm_r2,AI_BradyRig_Norm_p,AI_BradyRig_Norm_sig,AI_Tremor_Norm_r,AI_Tremor_Norm_r2,AI_Tremor_Norm_p,AI_Tremor_Norm_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_48,-0.0182,0.0003,0.312,False,-0.0188,0.0004,0.348509,False,-0.0484,0.0023,0.009364,False,0.0679,0.0046,0.000686,False,-0.0145,0.0002,0.467448,False,0.007,0.0,0.724676,False,0.0691,0.0048,0.000546,False,0.0431,0.0019,0.031122,False,0.0587,0.0034,0.00334,False,0.0494,0.0024,0.013586,False,0.0197,0.0,True,0.0004,0.565138,False,0.0054,0.001637,False
latent_51,-0.2404,0.0578,0.0,True,-0.0919,0.0085,4e-06,True,0.0745,0.0056,6.2e-05,True,0.0113,0.0001,0.570775,False,-0.0524,0.0027,0.008805,False,-0.0489,0.0024,0.014576,False,0.0136,0.0002,0.496348,False,0.0279,0.0008,0.162537,False,0.0355,0.0013,0.076149,False,0.0294,0.0009,0.14153,False,0.0282,0.0,True,0.0008,0.285648,False,0.0074,9.5e-05,True
latent_52,-0.1019,0.0104,0.0,True,0.0924,0.0085,4e-06,True,-0.0366,0.0013,0.049527,False,-0.0154,0.0002,0.441822,False,0.0889,0.0079,9e-06,True,0.0283,0.0008,0.157729,False,0.0004,0.0,0.985153,False,-0.0127,0.0002,0.526112,False,0.0073,0.0001,0.713644,False,-0.0093,0.0001,0.642232,False,0.0088,0.0,True,0.0001,0.795631,False,0.0106,1e-06,True
latent_55,0.0189,0.0004,0.294031,False,-0.1204,0.0145,0.0,True,0.0417,0.0017,0.025159,False,-0.1069,0.0114,0.0,True,-0.1073,0.0115,0.0,True,-0.0368,0.0014,0.065726,False,-0.1547,0.0239,0.0,True,-0.1189,0.0141,0.0,True,-0.123,0.0151,0.0,True,-0.1347,0.0181,0.0,True,0.0015,0.031599,False,0.0012,0.153178,False,0.01,3e-06,True
latent_57,-0.0596,0.0035,0.000945,False,-0.0154,0.0002,0.441505,False,0.0375,0.0014,0.043938,False,0.0692,0.0048,0.000541,False,-0.0228,0.0005,0.254701,False,0.0452,0.002,0.02393,False,0.0269,0.0007,0.179403,False,0.0393,0.0015,0.049291,False,0.0272,0.0007,0.17346,False,0.0308,0.0009,0.124199,False,0.0058,2.3e-05,True,0.0028,0.013195,False,0.0021,0.153906,False
latent_63,0.0006,0.0,0.975601,False,0.0272,0.0007,0.17468,False,0.0098,0.0001,0.597402,False,-0.0047,0.0,0.81464,False,0.0309,0.001,0.123093,False,-0.0057,0.0,0.774164,False,-0.0122,0.0001,0.542097,False,0.0087,0.0001,0.665053,False,-0.0001,0.0,0.994615,False,-0.0048,0.0,0.811617,False,0.005,8.9e-05,True,0.0011,0.183608,False,0.0062,0.000466,False
latent_66,-0.2305,0.0531,0.0,True,0.0406,0.0016,0.04247,False,0.0777,0.006,2.9e-05,True,-0.1027,0.0105,0.0,True,0.0754,0.0057,0.000161,True,-0.0331,0.0011,0.098184,False,-0.0992,0.0099,1e-06,True,-0.0937,0.0088,3e-06,True,-0.0888,0.0079,9e-06,True,-0.0893,0.008,8e-06,True,0.0112,0.0,True,0.0054,0.000235,True,0.0088,0.00013,True
latent_69,-0.1206,0.0145,0.0,True,-0.159,0.0253,0.0,True,0.0811,0.0066,1.3e-05,True,0.207,0.0428,0.0,True,-0.1284,0.0165,0.0,True,-0.0617,0.0038,0.00204,False,0.2327,0.0541,0.0,True,0.199,0.0396,0.0,True,0.228,0.052,0.0,True,0.1876,0.0352,0.0,True,0.0072,2e-06,True,0.0022,0.034737,False,0.0174,0.0,True
latent_70,0.0014,0.0,0.93971,False,-0.1222,0.0149,0.0,True,-0.0062,0.0,0.740785,False,0.0811,0.0066,5e-05,True,-0.1341,0.018,0.0,True,-0.0119,0.0001,0.551905,False,0.0853,0.0073,2e-05,True,0.0517,0.0027,0.009733,False,0.0803,0.0065,5.8e-05,True,0.047,0.0022,0.018824,False,0.0168,0.0,True,0.0026,0.017021,False,0.013,0.0,True
latent_76,0.0001,0.0,0.995512,False,-0.111,0.0123,0.0,True,0.0741,0.0055,6.8e-05,True,0.1117,0.0125,0.0,True,-0.1067,0.0114,0.0,True,0.0066,0.0,0.740675,False,0.0728,0.0053,0.000271,True,0.0666,0.0044,0.00087,False,0.0858,0.0074,1.7e-05,True,0.0734,0.0054,0.000242,True,0.0012,0.05176,False,0.0016,0.088946,False,0.0088,2.7e-05,True
